Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Dave Robisch,28,2TM,C,78,18,16.4,2.3,5.5,.412,1.3,1.7,.775,1.3,3.2,4.5,1.1,0.5,0.4,0.9,1.7,5.8,
Paul Silas,34,SEA,PF,82,,26.5,2.2,5.7,.397,1.3,2.3,.586,3.5,4.6,8.1,1.8,0.8,0.2,1.9,2.2,5.8,
Willie Norwood,30,2TM,SF,35,,17.5,2.1,5.2,.409,1.4,2.1,.667,1.4,2.0,3.4,0.9,0.9,0.1,1.6,2.9,5.7,
Mark Crow,23,NJN,SF,15,,10.3,2.3,5.3,.438,0.9,1.3,.700,0.9,0.9,1.8,0.5,0.3,0.1,0.8,1.6,5.6,
Mark Landsberger,22,CHI,PF,62,,14.9,2.0,4.0,.506,1.5,2.5,.580,1.8,3.1,4.9,0.7,0.3,0.1,1.1,1.3,5.6,
Jim McDaniels,29,BUF,C,42,,16.5,2.4,5.6,.427,0.9,1.0,.857,1.1,3.2,4.3,1.0,0.1,0.9,1.2,2.7,5.6,
Bob Nash,27,KCK,SF,66,,12.1,2.4,4.6,.516,0.8,1.0,.725,1.1,1.4,2.6,0.7,0.4,0.3,0.7,1.1,5.5,
Tim Bassett,26,NJN,PF,65,,22.7,2.3,5.9,.388,0.8,1.5,.515,2.2,4.0,6.2,1.0,1.0,0.5,1.2,2.8,5.4,
Len Elmore,25,IND,C,69,6,19.2,2.1,5.6,.368,1.3,1.9,.667,2.0,4.1,6.1,1.2,1.1,1.0,1.1,2.5,5.4,
Caldwell Jones,27,PHI,C,80,69,20.5,2.1,4.5,.471,1.2,1.9,.627,2.1,5.1,7.1,1.2,0.3,1.6,1.6,3.5,5.4,
Corky Calhoun,27,POR,SF,79,,17.3,2.2,4.6,.479,0.8,1.0,.868,0.9,1.8,2.7,1.1,0.5,0.2,0.8,1.8,5.3,
Paul Griffin,24,NOJ,PF,82,,22.6,2.0,4.4,.447,1.4,1.9,.713,1.9,4.3,6.2,2.1,1.1,0.5,1.8,2.8,5.3,
Nick Weatherspoon,27,CHI,SF,41,,14.9,2.1,4.7,.443,0.9,1.0,.881,1.4,1.7,3.0,0.8,0.5,0.2,1.2,1.8,5.1,
Jim Brewer,26,CLE,PF,80,,22.5,2.2,4.9,.449,0.6,1.3,.460,2.3,3.9,6.2,1.2,0.8,0.6,1.3,2.2,5.0,
Charles Dudley,27,GSW,PG,78,,21.3,1.6,3.2,.510,1.8,2.5,.708,1.1,2.6,3.7,5.2,0.9,0.0,2.1,2.3,5.0,
Greg Ballard,23,WSB,SF,76,,12.3,1.9,4.4,.425,1.2,1.5,.772,1.3,2.2,3.5,0.8,0.4,0.2,0.8,1.2,4.9,
Freddie Boyd,27,NOJ,SG,21,,17.3,2.1,5.2,.400,0.7,1.0,.636,0.1,0.8,0.9,2.3,0.4,0.1,1.0,1.1,4.9,
Al Eberhard,25,DET,SF,37,,15.6,1.9,4.3,.444,1.1,1.6,.672,1.0,1.8,2.8,0.7,0.4,0.1,0.6,1.7,4.9,
Don Chaney,31,2TM,SG,51,,16.4,2.0,5.3,.387,0.7,0.9,.844,0.8,1.5,2.3,1.3,0.9,0.3,1.2,2.1,4.8,
Glen Gondrezick,22,NYK,SF,72,,14.1,1.8,4.7,.386,1.2,1.7,.686,1.3,2.2,3.5,1.2,0.8,0.3,1.1,2.5,4.8,
John Kuester,22,KCK,PG,78,,15.6,1.9,4.1,.455,1.1,1.3,.829,0.2,1.2,1.5,3.2,0.7,0.0,1.2,1.8,4.8,
Dick Snyder,33,CLE,SG,58,,11.4,1.9,4.3,.444,1.0,1.1,.875,0.2,0.7,0.8,1.0,0.4,0.3,0.8,1.3,4.8,
Lloyd Walton,24,MIL,PG,76,,16.6,2.0,4.5,.448,0.7,1.1,.651,0.3,0.7,1.0,3.3,1.0,0.2,1.4,1.2,4.8,
Mike Bratz,22,PHO,PG,80,,11.7,2.0,4.9,.403,0.7,0.9,.824,0.5,0.9,1.4,1.5,0.5,0.1,1.1,1.3,4.7,
Wesley Cox,23,GSW,SF,43,,10.5,1.6,4.0,.399,1.3,2.3,.580,1.0,2.3,3.3,0.3,0.5,0.2,0.8,1.9,4.6,
Rickey Green,23,GSW,PG,76,,14.4,1.9,4.9,.381,0.7,1.2,.600,0.6,0.9,1.5,2.0,0.8,0.0,1.0,1.3,4.5,
Ricky Marsh,23,GSW,SG,60,,14.2,2.1,4.8,.426,0.4,0.6,.697,0.3,1.0,1.3,1.5,0.5,0.3,0.8,1.9,4.5,
Ben Poquette,22,DET,PF,52,,12.0,1.8,4.3,.422,0.8,1.2,.700,1.0,1.8,2.8,0.4,0.2,0.4,0.8,1.3,4.5,
Phil Walker,21,WSB,SG,40,,9.6,1.4,4.0,.354,1.6,2.4,.667,0.5,0.8,1.3,1.4,0.4,0.1,1.6,1.0,4.5,
Mo Layton,29,SAS,PG,41,,12.1,2.1,4.1,.506,0.3,0.3,.923,0.1,0.7,0.8,2.6,0.5,0.1,1.4,1.2,4.4,
Ed Ratleff,27,HOU,SF,68,,17.1,1.9,4.6,.419,0.6,0.7,.830,0.8,1.6,2.4,2.3,0.9,0.3,1.0,1.6,4.4,
Jan van Breda Kolff,26,NJN,SF,68,,20.9,1.6,4.3,.366,1.3,1.8,.707,1.0,2.6,3.6,1.5,0.8,0.7,1.1,2.8,4.4,
Derrek Dickey,26,2TM,PF,47,,10.5,1.9,4.2,.439,0.6,0.8,.833,0.8,1.3,2.1,0.4,0.3,0.1,0.9,1.2,4.3,
Ted McClain,31,2TM,PG,70,0,14.6,1.8,4.0,.439,0.8,1.0,.781,0.3,1.3,1.6,2.2,0.8,0.1,1.3,1.8,4.3,
Tate Armstrong,22,CHI,SG,66,,10.8,2.0,4.2,.468,0.3,0.4,.815,0.4,0.7,1.0,1.1,0.3,0.0,0.9,0.6,4.3,
Bo Ellis,23,DEN,PF,78,,15.6,1.7,4.1,.416,0.9,1.3,.692,1.5,2.4,3.9,0.9,0.6,0.6,1.3,2.7,4.3,
Steve Sheppard,23,CHI,SF,64,,10.9,1.9,4.1,.454,0.6,0.9,.661,1.0,1.0,2.0,0.7,0.2,0.0,0.7,1.1,4.3,
Jim Eakins,31,2TM,C,33,,12.3,1.3,2.6,.512,1.5,1.8,.833,0.9,1.4,2.3,0.9,0.2,0.5,1.0,2.2,4.2,
Gary Brokaw,24,BUF,SG,13,,10.0,1.4,3.3,.419,1.4,1.8,.750,0.2,0.7,0.9,1.5,0.2,0.4,0.9,0.8,4.2,
Mike Flynn,24,IND,PG,71,4,13.5,1.7,3.8,.449,0.8,1.4,.567,0.7,1.0,1.6,2.0,0.6,0.1,1.1,0.7,4.2,
Bayard Forrest,23,PHO,C,64,,13.9,1.7,3.7,.466,0.8,1.6,.476,1.3,2.6,3.9,2.0,0.4,0.5,1.3,1.6,4.2,
Johnny Neumann,26,IND,SG,20,1,10.8,1.8,4.3,.407,0.7,0.9,.722,0.3,0.5,0.7,1.4,0.3,0.1,1.1,1.2,4.2,
John Lambert,25,CLE,PF,76,,14.1,1.9,4.4,.423,0.4,0.6,.563,1.6,2.6,4.3,0.5,0.4,0.7,0.8,2.2,4.1,
Fred Saunders,26,2TM,SF,56,,11.5,1.8,4.2,.423,0.5,0.6,.722,0.7,1.3,2.0,0.8,0.4,0.3,0.8,1.9,4.0,
Greg Griffin,25,PHO,SF,36,,11.7,1.7,4.7,.361,0.6,1.0,.639,1.2,1.6,2.9,0.7,0.4,0.0,1.1,1.6,4.0,
Joe Hassett,22,SEA,SG,48,,8.4,1.9,4.3,.444,0.2,0.3,.833,0.3,0.5,0.8,0.9,0.4,0.0,0.7,0.9,4.0,
C.J. Kupec,25,HOU,SF,49,,12.8,1.7,4.0,.426,0.6,0.7,.818,0.6,1.3,1.9,1.0,0.2,0.1,0.5,1.1,4.0,
Tom LaGarde,22,DEN,C,77,,11.3,1.2,3.1,.405,1.5,1.9,.760,1.0,1.8,2.8,0.6,0.2,0.2,1.3,1.9,4.0,
Zaid Abdul-Aziz,31,2TM,C,16,,9.9,1.4,3.8,.383,1.1,1.4,.739,1.2,1.9,3.1,0.6,0.2,0.2,0.9,1.8,3.9,
Ernie DiGregorio,27,2TM,PG,52,,11.7,1.7,4.0,.421,0.5,0.6,.848,0.1,0.8,1.0,2.6,0.3,0.0,1.8,0.8,3.9,
Joe Pace,24,WSB,C,49,,8.9,1.4,2.9,.479,1.2,1.9,.613,1.0,1.7,2.7,0.5,0.2,0.4,0.9,1.8,3.9,
James Silas,28,SAS,PG,37,,8.4,1.2,2.6,.443,1.6,2.0,.822,0.1,0.5,0.6,1.0,0.3,0.0,0.8,0.8,3.9,
T.R. Dunn,22,POR,SG,63,,12.2,1.6,3.8,.417,0.6,0.9,.661,1.0,1.3,2.3,0.7,0.7,0.1,0.6,1.2,3.8,
Dennis Awtrey,29,PHO,C,81,,20.0,1.4,3.3,.424,0.9,1.3,.633,1.2,2.5,3.7,2.0,0.2,0.3,1.6,1.9,3.6,
Rudy White,24,HOU,SG,21,,10.4,1.5,4.0,.365,0.7,0.9,.778,0.4,0.6,1.0,1.0,0.4,0.0,1.0,1.1,3.6,
Mike Dunleavy,23,2TM,PG,15,0,7.9,1.3,3.3,.400,0.9,1.2,.722,0.1,0.6,0.7,1.9,0.6,0.1,0.8,0.8,3.5,
Dave Wohl,28,NJN,PG,10,,11.8,1.2,3.4,.353,1.1,1.2,.917,0.1,0.3,0.4,1.3,0.3,0.0,1.6,2.4,3.5,
Steve Green,24,IND,SF,44,0,10.2,1.3,2.9,.438,0.9,1.3,.696,0.7,0.9,1.6,0.7,0.3,0.0,0.5,1.5,3.4,
Gus Bailey,26,NOJ,SG,48,,9.4,1.2,2.9,.424,0.8,1.4,.552,0.9,0.8,1.7,0.8,0.4,0.3,0.7,1.0,3.2,
Jacky Dorsey,23,2TM,SF,11,,8.0,1.1,2.8,.387,0.9,1.5,.625,1.0,1.7,2.7,0.5,0.2,0.3,0.5,1.5,3.1,
Scott Lloyd,25,2TM,C,70,,9.7,1.1,2.8,.415,0.7,1.0,.721,0.7,1.3,2.1,0.6,0.2,0.2,0.6,1.5,3.0,
Harvey Catchings,26,PHI,C,61,2,12.3,1.1,2.9,.393,0.6,0.9,.618,1.7,2.4,4.1,0.6,0.3,1.1,0.7,2.0,2.9,
Kevin Restani,26,2TM,PF,54,,10.1,1.3,3.1,.431,0.2,0.2,.692,0.7,1.3,2.0,0.6,0.1,0.1,0.3,0.8,2.8,
Robert Smith,22,DEN,PG,45,,8.4,1.1,2.2,.515,0.5,0.5,.875,0.1,0.7,0.8,0.9,0.4,0.1,0.4,1.2,2.7,
Eddie Owens,24,BUF,SF,8,,7.9,1.1,2.6,.429,0.4,0.8,.500,0.6,0.6,1.3,0.6,0.1,0.0,0.4,1.1,2.6,
Tom Boerwinkle,32,CHI,C,22,,10.3,1.0,2.3,.460,0.5,0.6,.769,0.6,2.0,2.7,2.0,0.1,0.2,1.2,1.6,2.5,
Brad Davis,22,LAL,PG,33,,10.1,0.9,2.2,.417,0.7,0.9,.759,0.1,0.9,1.1,2.5,0.5,0.1,1.1,1.2,2.5,
Dale Schlueter,32,POR,C,10,,10.9,0.8,1.9,.421,0.9,1.8,.500,0.5,1.6,2.1,1.8,0.3,0.2,1.5,2.0,2.5,
Scott Sims,22,SAS,PG,12,,7.9,0.8,2.2,.385,0.8,1.3,.667,0.4,0.7,1.1,1.7,0.3,0.0,1.6,1.3,2.5,
Bobby Wilson,27,IND,SG,12,0,7.2,1.2,3.0,.389,0.2,0.3,.667,0.5,0.5,1.0,0.7,0.2,0.1,0.5,1.3,2.5,
Mel Bennett,23,IND,PF,31,0,9.2,0.7,2.6,.284,0.9,1.5,.622,1.6,1.4,3.0,0.7,0.4,0.2,1.0,1.7,2.4,
Phil Jackson,32,NYK,PF,63,,10.4,0.9,1.8,.478,0.7,0.9,.768,0.5,1.3,1.7,0.7,0.5,0.2,0.7,1.7,2.4,
Rich Laurel,23,MIL,SG,10,,5.7,1.0,3.1,.323,0.4,0.4,1.000,0.6,0.4,1.0,0.3,0.3,0.1,0.4,1.0,2.4,
Kim Hughes,25,NJN,C,56,,15.3,1.0,2.9,.356,0.2,0.5,.310,1.7,2.6,4.3,0.7,0.9,0.9,1.0,2.9,2.2,
Robin Jones,23,HOU,C,12,,5.5,0.9,1.7,.550,0.3,0.8,.400,0.4,0.8,1.2,0.2,0.1,0.1,0.6,1.3,2.2,
Glenn Mosley,22,PHI,PF,6,0,3.5,0.8,2.2,.385,0.5,1.2,.429,0.0,0.8,0.8,0.3,0.0,0.0,0.8,0.8,2.2,
Claude Terry,28,ATL,SG,27,,6.1,0.9,2.5,.368,0.3,0.4,.818,0.1,0.4,0.6,0.3,0.2,0.0,0.3,0.5,2.2,
Al Fleming,23,SEA,SF,20,,4.9,0.8,1.6,.484,0.5,0.9,.588,0.7,0.9,1.5,0.4,0.0,0.3,0.8,0.8,2.0,
Cliff Pondexter,23,CHI,PF,44,,12.1,0.8,1.9,.435,0.3,0.5,.700,0.8,2.1,3.0,2.0,0.4,0.3,0.7,1.5,2.0,
Bob Bigelow,24,2TM,SF,5,,4.8,0.8,2.6,.308,0.0,0.0,,0.6,1.2,1.8,0.0,0.0,0.0,0.0,0.6,1.6,
Larry Johnson,23,BUF,SG,4,,9.5,0.8,3.3,.231,0.0,0.5,.000,0.3,1.0,1.3,1.8,1.3,0.5,0.8,0.8,1.5,
George Karl,26,SAS,PG,4,,7.5,0.5,1.5,.333,0.5,0.5,1.000,0.0,1.3,1.3,1.3,0.3,0.0,1.0,1.5,1.5,
Jim Ard,29,2TM,C,15,,8.3,0.5,1.1,.471,0.2,0.3,.600,0.6,1.8,2.4,0.5,0.0,0.0,0.9,1.3,1.3,
Wayman Britt,25,DET,SG,7,,2.3,0.4,1.4,.300,0.4,0.6,.750,0.1,0.4,0.6,0.3,0.1,0.0,0.1,0.4,1.3,
Ticky Burden,24,NYK,SG,2,,7.5,0.5,1.0,.500,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.0,
Norm Cook,22,DEN,SF,2,,5.0,0.5,1.5,.333,0.0,0.0,,0.5,1.0,1.5,0.5,0.0,0.0,0.0,2.0,1.0,
Larry Moffett,23,HOU,SF,20,,5.5,0.3,0.9,.294,0.3,0.5,.600,0.5,0.6,1.1,0.4,0.1,0.1,0.4,0.8,0.8,
Steve Kuberski,30,BOS,PF,3,,4.7,0.3,1.3,.250,0.0,0.0,,0.3,1.7,2.0,0.0,0.3,0.0,0.7,0.7,0.7,
Phil Bond,23,HOU,SG,7,,3.0,0.3,0.9,.333,0.0,0.0,,0.1,0.4,0.6,0.3,0.1,0.0,0.3,0.1,0.6,
Willie Wise,30,SEA,SF,2,,5.0,0.0,1.5,.000,0.5,2.0,.250,1.0,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.5,
Glenn Hansen,25,2TM,SG,5,,2.6,0.0,1.4,.000,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.2,0.6,0.0,
Andre McCarter,24,KCK,PG,1,,9.0,0.0,2.0,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,
Willie Smith,24,IND,PG,1,0,7.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,
Dean Tolson,26,SEA,PF,1,,7.0,0.0,1.0,.000,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,
